"SS","YEAR","NEAR.DIST.harvest","MEANAGE.565.harvest"
"CL:C-001-1:1",2000,413.9201627,5
"CL:C-001-1:1",2001,413.9201627,6
"CL:C-001-1:1",2002,413.9201627,7
"CL:C-001-1:1",2003,413.9201627,8
"CL:C-001-1:1",2005,413.9201627,10
"CL:C-001-1:1",2006,413.9201627,11
"CL:C-001-1:1",2007,413.9201627,12
"CL:C-001-1:1",2008,413.9201627,13
"CL:C-001-1:1",2009,413.9201627,14
"CL:C-001-1:1",2010,413.9201627,15
"CL:C-001-1:1",2011,413.9201627,16
"CL:C-001-1:1",2012,413.9201627,17
"CL:C-001-1:1",2014,413.9201627,19
"CL:C-001-1:1",1993,1000,102.5066681
"CL:C-001-1:1",1994,1000,102.5066681
"CL:C-001-1:1",1995,1000,102.5066681
"CL:C-001-1:1",1996,413.9201627,1
"CL:C-001-1:1",1997,413.9201627,2
"CL:C-001-1:1",1998,413.9201627,3
"CL:C-001-1:1",1999,413.9201627,4
"CL:C-001-2:1",2000,455.3649367,6
"CL:C-001-2:1",2001,455.3649367,7
"CL:C-001-2:1",2002,455.3649367,8
"CL:C-001-2:1",2003,455.3649367,9
"CL:C-001-2:1",2005,262.486144,2.344515257
"CL:C-001-2:1",2006,262.486144,3.344515257
"CL:C-001-2:1",2007,262.486144,4.344515257
"CL:C-001-2:1",2008,221.6724418,2.946000594
"CL:C-001-2:1",2009,221.6724418,3.946000594
"CL:C-001-2:1",2010,221.6724418,4.946000594
"CL:C-001-2:1",2011,221.6724418,5.946000594
"CL:C-001-2:1",2012,221.6724418,6.946000594
"CL:C-001-2:1",2014,221.6724418,8.946000594
"CL:C-001-2:1",1993,1000,102.5066681
"CL:C-001-2:1",1994,1000,102.5066681
"CL:C-001-2:1",1995,455.3649367,1
"CL:C-001-2:1",1996,455.3649367,2
"CL:C-001-2:1",1997,455.3649367,3
"CL:C-001-2:1",1998,455.3649367,4
"CL:C-001-2:1",1999,455.3649367,5
"CL:C-001-3:1",2000,1000,102.5066681
"CL:C-001-3:1",2001,1000,102.5066681
"CL:C-001-3:1",2002,1000,102.5066681
"CL:C-001-3:1",2003,1000,102.5066681
"CL:C-001-3:1",2005,1000,102.5066681
"CL:C-001-3:1",2006,1000,102.5066681
"CL:C-001-3:1",2007,1000,102.5066681
"CL:C-001-3:1",2008,1000,102.5066681
"CL:C-001-3:1",2009,1000,102.5066681
"CL:C-001-3:1",2010,1000,102.5066681
"CL:C-001-3:1",2011,1000,102.5066681
"CL:C-001-3:1",2012,1000,102.5066681
"CL:C-001-3:1",2014,260.2731673,1
"CL:C-001-3:1",1993,1000,102.5066681
"CL:C-001-3:1",1994,1000,102.5066681
"CL:C-001-3:1",1995,1000,102.5066681
"CL:C-001-3:1",1996,1000,102.5066681
"CL:C-001-3:1",1997,1000,102.5066681
"CL:C-001-3:1",1998,1000,102.5066681
"CL:C-001-3:1",1999,1000,102.5066681
"CL:C-010-1:1",2000,655.3327999,102.5066681
"CL:C-010-1:1",2001,655.3327999,102.5066681
"CL:C-010-1:1",2002,655.3327999,102.5066681
"CL:C-010-1:1",2003,655.3327999,102.5066681
"CL:C-010-1:1",2005,655.3327999,102.5066681
"CL:C-010-1:1",2006,655.3327999,102.5066681
"CL:C-010-1:1",2007,655.3327999,102.5066681
"CL:C-010-1:1",2008,655.3327999,102.5066681
"CL:C-010-1:1",2009,655.3327999,102.5066681
"CL:C-010-1:1",2010,655.3327999,102.5066681
"CL:C-010-1:1",2011,655.3327999,102.5066681
"CL:C-010-1:1",2012,655.3327999,102.5066681
"CL:C-010-1:1",2014,655.3327999,102.5066681
"CL:C-010-1:1",1993,1000,102.5066681
"CL:C-010-1:1",1994,1000,102.5066681
"CL:C-010-1:1",1995,807.4150132,102.5066681
"CL:C-010-1:1",1996,655.3327999,102.5066681
