latitude,longitude,patch size,treatment,SS
55.279564,-113.529182,1,Control,CL:C-001-1:1
55.265496,-113.47571,1,Control,CL:C-001-2:1
55.229776,-113.443937,1,Control,CL:C-001-3:1
55.275528,-113.530012,10,Control,CL:C-010-1:2
55.263338,-113.49426,10,Control,CL:C-010-2:1
55.224157,-113.456047,10,Control,CL:C-010-3:2
55.27172,-113.525535,40,Control,CL:C-040-1:1-1
55.268267,-113.525599,40,Control,CL:C-040-1:1-3
55.269989,-113.522276,40,Control,CL:C-040-1:2-2
55.266463,-113.52243,40,Control,CL:C-040-1:2-4
55.265025,-113.483834,40,Control,CL:C-040-2:1-2
55.261621,-113.483685,40,Control,CL:C-040-2:1-4
55.267031,-113.480685,40,Control,CL:C-040-2:2-1
55.263402,-113.480569,40,Control,CL:C-040-2:2-3
55.235402,-113.453405,40,Control,CL:C-040-3:1-1
55.231767,-113.453134,40,Control,CL:C-040-3:1-3
55.233532,-113.449861,40,Control,CL:C-040-3:2-2
55.229962,-113.449909,40,Control,CL:C-040-3:2-4
55.259807,-113.511714,100,Control,CL:C-100-1:1-2
55.256202,-113.511723,100,Control,CL:C-100-1:1-4
55.26211,-113.508554,100,Control,CL:C-100-1:2-1
55.257972,-113.508703,100,Control,CL:C-100-1:2-3
55.253975,-113.508986,100,Control,CL:C-100-1:2-5
55.260292,-113.505622,100,Control,CL:C-100-1:3-2
55.256835,-113.505436,100,Control,CL:C-100-1:3-4
55.261951,-113.502736,100,Control,CL:C-100-1:4-1
55.258013,-113.502362,100,Control,CL:C-100-1:4-3
55.254859,-113.502306,100,Control,CL:C-100-1:4-5
55.260241,-113.493169,100,Control,CL:C-100-2:1-1
55.25669,-113.493198,100,Control,CL:C-100-2:1-3
55.258236,-113.489675,100,Control,CL:C-100-2:2-2
55.254707,-113.489517,100,Control,CL:C-100-2:2-4
55.2603,-113.486766,100,Control,CL:C-100-2:3-1
55.256498,-113.486765,100,Control,CL:C-100-2:3-3
55.258326,-113.483479,100,Control,CL:C-100-2:4-2
55.254669,-113.483409,100,Control,CL:C-100-2:4-4
55.259878,-113.480554,100,Control,CL:C-100-2:5-1
55.256686,-113.480166,100,Control,CL:C-100-2:5-3
55.220433,-113.440534,100,Control,CL:C-100-3:1-1
55.216881,-113.439719,100,Control,CL:C-100-3:1-3
55.218287,-113.436377,100,Control,CL:C-100-3:2-2
55.215311,-113.4364,100,Control,CL:C-100-3:2-4
55.220388,-113.434241,100,Control,CL:C-100-3:3-1
55.216763,-113.433454,100,Control,CL:C-100-3:3-3
55.218364,-113.43025,100,Control,CL:C-100-3:4-2
55.215073,-113.42942,100,Control,CL:C-100-3:4-4
55.220669,-113.427796,100,Control,CL:C-100-3:5-1
55.216902,-113.426953,100,Control,CL:C-100-3:5-3
55.243629,-113.532909,1,Fragment,CL:F-001-1:1
55.275884,-113.446423,1,Fragment,CL:F-001-2:1
55.225093,-113.413692,1,Fragment,CL:F-001-3:1
55.242683,-113.53908,10,Fragment,CL:F-010-1:1
55.278324,-113.469438,10,Fragment,CL:F-010-2:2
55.213909,-113.397357,10,Fragment,CL:F-010-3:1
55.248989,-113.543148,40,Fragment,CL:F-040-1:1-1
55.247312,-113.539957,40,Fragment,CL:F-040-1:2-2
55.249196,-113.537087,40,Fragment,CL:F-040-1:3-1
55.247102,-113.533602,40,Fragment,CL:F-040-1:4-2
55.28457,-113.460628,40,Fragment,CL:F-040-2:1-1
55.281278,-113.460739,40,Fragment,CL:F-040-2:1-3
55.282887,-113.457595,40,Fragment,CL:F-040-2:2-2
55.279514,-113.457701,40,Fragment,CL:F-040-2:2-4
55.209204,-113.442424,40,Fragment,CL:F-040-3:1-1
